Address,Voi,Algo,Total
A4YW55ZEC2TTIN2TEVN56IRVGLWQYQRUNJTPG37OTWE4EJWNAH3EUKHZKA,0,24245.26511,24245.26511
GAIEV4Q22ZIN5QK66QNSTELUOO5ZRUBW5DM6MWOJOFWOVIJSRQPO3OEMZ4,0,24220.68794,24220.68794
C6AYYEY3VBCAMVV5CLMDT6B2SBKXTIWDJIWRPFDMG5A5C7WXSV74DQ23AY,0,24219.5149,24219.5149
6PAUQLIQ3CXTRO272SYVC2W7EXYGGFFE5D6CM2MIJK5LSMNDETGBJVGZLU,0,24197.52627,24197.52627
ZRXL2X24SVVFZAVIMMDH6UIITHK2ULDXZB4OCEI6J3VNRSE44DJWYYYX7Y,0,24177.42982,24177.42982
WG5O5FW7CXP2NIX23YF4MUKK7VCXAQFLTCGR4J2OXZZV52VFQOLQJ3I3IM,0,24172.55524,24172.55524
R5662QAEURHBILLRNWAKVTUTDJAX2ZMWVXVKOYOYJZBHFNH5XPJQSOCCQE,0,24167.89326,24167.89326
WAPTTKRRM4BXO33FATII5342B5N5AU5GYHZUHLHZQDQP7DRIJXE4TDGACI,0,24158.19012,24158.19012
SZE3DE2T4P7HYFYJ5J3NFLFPA7ZZ4YKZP3SWMKTPGP72ZJM67ERNYHBKM4,0,24151.86456,24151.86456
JF7KB7H5HQLTZFYGF73SSRBIVN7ATIYBGDQX3VCBGDQPLBUKB53WXEPAQU,0,24129.9424,24129.9424
BWHDXT6H4EP54IE3ETYXR3YATEXNI7ABWYTX3LQVBGTFQZ3OK4QAQWFLLM,24108.76856,0,24108.76856
OEWPXSAUBNAC6OYJN2KKZPTHWUYICH7JA7RFKBKVLP6J4V6QLXFB2BS2R4,0,24095.50214,24095.50214
GLOSSYXX5RTAPRAKN4VOMO3BWPKDXMRQ4FJO6DNEIF7BZC6W324VDMR5CY,0,24080.11004,24080.11004
NLGSUTUBO44GET2J4DSXHDWSUK77FXRAHJRTERVBVOG56SB3G4SNRX4XJI,0,24075.11732,24075.11732
CWELML543LOZFXVZH2VTFXKMH4XM4THAAGG2GQMDZWGBKPGX74OW2AJC64,0,24070.80443,24070.80443
7EIISXGOKMFCGWYPCDIPATV6LBWGTSDD2EW6VLI6CEBSTLLWGG22CIRUUA,0,24052.1701,24052.1701
